step_id,Ef,Eb,Ta,Tw,Te,Tw+Te+Ta,dominant
0,0.161014,0.57324,0.0,0.0,7.342542,7.342542,True
1,0.268435,0.268435,0.0,0.161014,6.608288,6.769302,False
2,0.167469,0.546744,0.0,0.42945,6.071417,6.500867,False
3,0.268435,0.268435,0.0,0.596919,5.357205,5.954123,False
4,0.157114,0.494074,0.0,0.865354,4.820334,5.685688,False
5,0.268435,0.268435,0.0,1.022468,4.169146,5.191614,False
6,0.145028,0.456068,0.0,1.290904,3.632275,4.923179,False
7,0.268435,0.268435,0.0,1.435932,3.031178,4.467111,False
8,0.145028,0.456068,0.0,1.704368,2.494308,4.198675,False
9,0.268435,0.268435,0.0,1.849396,1.893211,3.742607,False
10,0.145028,0.456068,0.0,2.117831,1.35634,3.474172,False
11,0.268435,0.268435,0.0,2.26286,0.755244,3.018103,False
12,0.145028,0.456068,0.0,2.531295,0.218373,2.749668,False
13,0.268435,0.268435,0.0,2.676323,-0.382724,2.2936,False
14,0.145028,0.456068,0.0,2.944759,-0.919594,2.025164,False
